01 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_normal | text=省实验中学的早上，总是安静得有点过分。
02 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=教室里只有翻书声。
03 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_normal | text=你果然已经坐好了。
04 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=你也不算晚。
05 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_happy  | text=因为我猜你在。
06 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_shame  | text=这听起来不像夸人。
07 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_talk   | text=但每次都对。
08 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_normal | text=今天有物理小测。
09 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_shame  | text=所以我才来得这么早。
10 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=临时准备没用。

11 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_talk   | text=至少让我确认下公式。
12 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=你抄了也记不住。
13 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_normal | text=那你讲一句。
14 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=磁通量变化会产生感应电动势。
15 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_shame  | text=听起来就很难。
16 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_happy  | text=中午我再慢慢讲。
17 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_happy  | text=那我活下来了。
18 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_normal | text=老师快来了。
19 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_talk   | text=省实验的老师脚步声都很重。
20 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=专门用来提醒人的。

21 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_normal | text=这节课你听得怎么样？
22 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=还能跟上。
23 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_talk   | text=那我就放心了。
24 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_normal | text=你刚才在发呆。
25 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_shame  | text=被你发现了。
26 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_talk   | text=我在想以后。
27 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_talk   | text=以后离现在太远了。
28 | scene=scene_Classroom | bgm=bgm_1 | speaker=楚蒙牛 | sprite=N_normal | text=但省实验的人都会想。
29 | scene=scene_Classroom | bgm=bgm_1 | speaker=一森窦 | sprite=D_normal | text=我只想别掉队。
